Image_of_site,price,Book Now,Rating,Hotel,Hotel_image
https://cdn.datahc.com/images/providers/logos/AGD.png?cdn=1.0.2020.107001-C88cccb04ad3c98f8a9ca292b8a0b36b03b623ba1,₹32000,https://www.hotels-scanner.com/ProviderRedirect.ashx?key=0.64769348.1339939618.24.INR.678226042&source=32-0,5,The Taj Mahal Palace Mumbai,https://media.datahc.com/HI543542026.jpg
https://cdn.datahc.com/images/providers/logos/AGD.png?cdn=1.0.2020.107001-C88cccb04ad3c98f8a9ca292b8a0b36b03b623ba1,₹16000,https://www.hotels-scanner.com/ProviderRedirect.ashx?key=0.51162282.1339939618.14.INR.1460500737&source=32-0,5,Trident Nariman Point,https://media.datahc.com/HI407766761.jpg
https://cdn.datahc.com/images/providers/logos/AGD.png?cdn=1.0.2020.107001-C88cccb04ad3c98f8a9ca292b8a0b36b03b623ba1,₹14998,https://www.hotels-scanner.com/ProviderRedirect.ashx?key=0.8616038.1339939590.10.INR.1328903761&source=32-0,5,Grand Hyatt Mumbai,https://media.datahc.com/HI406489310.jpg
https://cdn.datahc.com/images/providers/logos/ACC-SOF.png?cdn=1.0.2020.107001-C88cccb04ad3c98f8a9ca292b8a0b36b03b623ba1,₹18000,https://www.hotels-scanner.com/ProviderRedirect.ashx?key=0.4393432.1339939561.7.INR.829272773&source=32-0,5,Sofitel Mumbai BKC,https://media.datahc.com/HI229093715.jpg
https://cdn.datahc.com/images/providers/logos/AGD.png?cdn=1.0.2020.107001-C88cccb04ad3c98f8a9ca292b8a0b36b03b623ba1,₹18500,https://www.hotels-scanner.com/ProviderRedirect.ashx?key=0.26722245.1339939608.33.INR.1479124708&source=32-0,5,Hotel Sahara Star-Mumbai Airport,https://media.datahc.com/HI195807571.jpg
https://cdn.datahc.com/images/providers/logos/ZHT.png?cdn=1.0.2020.107001-C88cccb04ad3c98f8a9ca292b8a0b36b03b623ba1,₹15291,https://www.hotels-scanner.com/ProviderRedirect.ashx?key=0.39916749.1339939406.16.INR.803025601&source=32-0,5,The Lalit Mumbai-Airport,https://media.datahc.com/HI534035479.jpg
https://cdn.datahc.com/images/providers/logos/AGD.png?cdn=1.0.2020.107001-C88cccb04ad3c98f8a9ca292b8a0b36b03b623ba1,₹12399,https://www.hotels-scanner.com/ProviderRedirect.ashx?key=0.775828.1339939608.16.INR.465547330&source=32-0,5,The Orchid - An Ecotel Hotel,https://media.datahc.com/HI595632802.jpg
https://cdn.datahc.com/images/providers/logos/AGD.png?cdn=1.0.2020.107001-C88cccb04ad3c98f8a9ca292b8a0b36b03b623ba1,₹13600,https://www.hotels-scanner.com/ProviderRedirect.ashx?key=0.51162281.1339939639.13.INR.1128570850&source=32-0,5,President - IHCL SeleQtions,https://media.datahc.com/HI552214967.jpg
https://cdn.datahc.com/images/providers/logos/AGD.png?cdn=1.0.2020.107001-C88cccb04ad3c98f8a9ca292b8a0b36b03b623ba1,₹17965,https://www.hotels-scanner.com/ProviderRedirect.ashx?key=0.39008833.1339939632.14.INR.253179220&source=32-0,5,Hyatt Regency Mumbai International Airport,https://media.datahc.com/HI396194806.jpg
https://cdn.datahc.com/images/providers/logos/ACC-NOV.png?cdn=1.0.2020.107001-C88cccb04ad3c98f8a9ca292b8a0b36b03b623ba1,₹15000,https://www.hotels-scanner.com/ProviderRedirect.ashx?key=0.4265308.1339939561.26.INR.1446054488&source=32-0,5,Novotel Mumbai Juhu Beach,https://media.datahc.com/HI500902220.jpg
https://cdn.datahc.com/images/providers/logos/AGD.png?cdn=1.0.2020.107001-C88cccb04ad3c98f8a9ca292b8a0b36b03b623ba1,₹18000,https://www.hotels-scanner.com/ProviderRedirect.ashx?key=0.49359435.1339939634.10.INR.942331606&source=32-0,5,The Leela Mumbai Airport,https://media.datahc.com/HI552733722.jpg
https://cdn.datahc.com/images/providers/logos/AGD.png?cdn=1.0.2020.107001-C88cccb04ad3c98f8a9ca292b8a0b36b03b623ba1,₹17000,https://www.hotels-scanner.com/ProviderRedirect.ashx?key=0.51040552.1339939638.33.INR.1580987195&source=32-0,5,Trident Bandra Kurla,https://media.datahc.com/HI281245051.jpg
https://cdn.datahc.com/images/providers/logos/AGD.png?cdn=1.0.2020.107001-C88cccb04ad3c98f8a9ca292b8a0b36b03b623ba1,₹14098,https://www.hotels-scanner.com/ProviderRedirect.ashx?key=0.4063876.1339939654.4.INR.271695765&source=32-0,5,Courtyard by Marriott Mumbai International Airport,https://media.datahc.com/HI553987303.jpg
https://cdn.datahc.com/images/providers/logos/AGD.png?cdn=1.0.2020.107001-C88cccb04ad3c98f8a9ca292b8a0b36b03b623ba1,₹8441,https://www.hotels-scanner.com/ProviderRedirect.ashx?key=0.12214582.1339939615.39.INR.729940001&source=32-0,3,Residency Hotel Fort,https://media.datahc.com/HI581506613.jpg
https://cdn.datahc.com/images/providers/logos/AGD.png?cdn=1.0.2020.107001-C88cccb04ad3c98f8a9ca292b8a0b36b03b623ba1,₹19980,https://www.hotels-scanner.com/ProviderRedirect.ashx?key=0.50173657.1339939618.52.INR.543963760&source=32-0,5,The Oberoi Mumbai,https://media.datahc.com/HI340153041.jpg
